ID_Recipe,Recipe_Name,Calories,Recipe_Category
1,ד‏הבלצמענ,6,א
2,ûיכףזûüחל,3,ד
3,‏םüזקח‏ףעם,3,ג
4,כזÿדת‎ירוÿ‎פכüצ,8,ג
5,ףםיךüûמעאתנמארצ,6,א
6,עצ‏‎יüםןפעהאז,7,ב
7,נקעûבגצגס‎בכÿ,9,ה
8,שגשע‎ילא‏וש,4,ג
9,עךילףÿחצÿ,3,א
10,םüמזדןקיבÿיןב,10,ה
11,‎üצעעז‎נהןךקגקט,8,ד
12,כיע‏ףפ‏לפץפÿפה,2,ה
13,ןעגפלןףנםטף,8,ב
14,ש‎ךואקכרבחהמÿ,5,ד
15,בם‏ûוץחûף,5,ד
16,נעתהפמסו‏יץרזךה,9,ה
17,שצןחטפקךךנק,9,ב
18,צûסםמהטש‏עûודוü,3,ה
19,רטמכץואש‎קחךשצם,9,ב
20,םטפיךשוטבאפסûך,10,ב
21,בלציכחקלן,10,ה
22,תץבûבא‏יטתחזגץפ,2,ב
23,שדסץנרטסש,7,ב
24,‏מבנü‏שסÿגוגלûפ,10,ד
25,ךזייגשתצרגד,6,ד
26,תים‏גאצעפ,10,ד
27,ÿי‏סםמדלטב‏א‎כג,10,ג
28,חהןפווûטביוחלמז,7,ה
29,ףטם‏‏עכסÿאנ,8,א
30,ל‏חרףםנ‏ג,3,ב
31,זבכלתנÿננחפז,1,ג
32,ûטףכזüץך‏‎,8,ג
33,בû‎רןטצעûפ,8,ב
34,םנהתפזזףףככב,1,א
35,לדלףזופסמךםןץנך,10,ד
36,‎פםפשחשגü,9,ד
37,םלחאדהרזחץלנתםמ,8,ג
38,‎סא‏סאםטביחב,10,א
39,הרÿץגאז‏לסבהףןף,2,א
40,אדךן‏ךןץןףבץמת,5,א
41,ךצחםב‏וזפיאי,3,ד
42,לםבןקצזû‎ט,9,ג
43,טברבכטעגשפ,3,א
44,קטרםעי‎זישעûפ,5,ד
45,קרץנץקץÿא,3,ג
46,פשכדוסטוצש‎קכץר,5,ב
47,ןמüûפûגךךן,8,ה
48,וחךûעûבאה,3,ה
49,חנךנמץןדן‏ך,8,ה
50,ûטבדיטךצי‏,10,א
51,טסלםה‏‏בדלרנÿ,1,ד
52,ןקחנשÿ‎üחדט,4,ג
53,ÿשיפמאüו‏גרגע,10,ד
54,פלûרןףגס‏‎‎ר,9,ד
55,ב‏נכצצדבד,2,ה
56,רכלמכשמüüנך,7,ד
57,פסעפןםץהנ,2,ה
58,אüאצגכקכצסבû‎,7,א
59,‏גםסטלר‏שמ,4,ה
60,נפפ‎ץוüנרזת,1,א
61,אÿüכ‎צייפגץעלת,4,ב
62,זדאûדףשץטטםבךץע,9,ג
63,ותüיק‎כץיו,9,א
64,רםקכחתÿהט,3,ה
65,זהזüקÿםדן,1,ד
66,פיפהסברםמûףüאך,1,ב
67,צןוףיקטשלםךזם,4,ב
68,השכרקרםץתאüמתÿ,2,ה
69,צומבנ‎ÿמסהוי,3,ד
70,זלזגדףשפנזעשפהג,4,ב
71,‏בפרדנכגקצע,5,א
72,ץק‏קמעûעזלזי‏,3,ב
73,םץקעךקגצלטמÿ,3,ד
74,üûÿתÿא‎תשהûאזב,6,ד
75,טüרכךקדרשך,9,ב
76,גהס‏ןדדבû,6,ד
77,תירוגסüו‎ךף,1,ד
78,‏שנב‏יפתהחםÿישפ,8,ד
79,עטטסםאולג,7,ב
80,פינצדןדץבד‎,6,א
81,תןסרמ‎ךוüןו,10,ב
82,נ‏ןüג‏צצכ‏אצןח,5,ה
83,צÿלתüוךכי,10,א
84,ךמקעספרןפרג,8,ד
85,פחןגפמÿ‏שצ,7,א
86,üûפü‏ק‎כמ,2,ב
87,הף‏גרהחצנג‎הצ,8,ה
88,מ‎לüחהחüןעÿיל,4,ג
89,יהס‏םכבועט,2,א
90,רמ‎ייכססךאלמו,3,ג
91,ך‏üומק‎קףףיק,3,א
92,עצןזנףעםהקזצגרר,5,ב
93,ןףבתשי‏זזך,2,ד
94,חצבכ‎כגךשטעא,9,ג
95,אמחגן‎המאטילגנ,3,ג
96,ÿטאיכבÿש‎ההרף,2,ה
97,דאמזבקפעדאלן,10,א
98,גהסüףרתני,6,ה
99,ץקנתםךדû‎י,4,א
100,גלמצךקגשÿשüנלאÿ,9,ג
