41,167,34,500,1669,424,311,2015-11-21,6,7
2281,27,161,491,1095,242,291,2013-04-17,3,2
292,82,271,516,268,95,213,2015-12-03,10,1
1667,199,235,144,1453,411,262,2014-10-17,2,17
1253,268,347,344,1512,357,145,2016-12-26,10,19
316,35,140,542,338,406,316,2015-05-25,7,18
890,129,220,400,1406,51,313,2013-10-24,5,5
756,140,66,226,331,208,193,2016-03-12,8,12
1118,282,179,291,983,65,103,2015-01-19,8,8
1673,186,121,145,1624,172,338,2014-06-06,8,2
2986,90,61,436,955,17,273,2015-12-13,1,11
1941,124,316,180,1907,41,209,2014-02-24,4,10
2945,209,9,8,871,138,141,2015-03-11,4,4
900,191,212,355,1860,59,54,2014-09-16,6,14
602,50,141,286,1624,220,60,2014-01-16,9,13
2281,234,53,49,1118,38,270,2013-08-20,9,17
648,283,307,471,710,317,129,2015-06-01,6,10
2600,149,69,356,1398,153,292,2013-01-18,10,4
195,85,293,43,1323,237,348,2016-09-01,9,7
2580,296,98,331,139,98,90,2014-01-19,9,19
38,179,340,407,208,341,272,2013-05-04,3,13
272,255,28,546,1062,386,30,2014-02-11,5,11
881,198,172,451,321,299,68,2013-05-02,6,16
2600,110,3,219,361,288,140,2014-04-16,3,3
182,85,138,226,1367,357,61,2013-06-27,2,14
1976,129,268,92,1975,205,294,2014-02-21,6,11
718,153,39,73,729,346,285,2014-02-22,7,11
193,95,147,266,1036,355,59,2015-12-03,5,17
1316,271,186,563,463,55,125,2014-01-01,3,8
1313,156,321,58,296,82,133,2013-01-07,10,15
2535,50,323,66,394,59,118,2016-10-05,5,4
1745,249,236,513,624,122,75,2015-08-22,9,1
1202,25,227,514,1564,174,19,2015-01-28,4,8
1487,97,168,377,273,320,19,2013-09-14,3,7
2213,127,252,199,1327,375,148,2013-08-13,2,8
1003,132,5,293,1325,431,117,2015-03-11,5,16
1187,260,13,424,670,370,236,2014-08-01,7,13
1285,250,140,44,795,24,100,2014-09-23,9,7
2371,266,128,493,501,284,321,2013-12-25,1,19
1060,126,260,207,1020,65,154,2016-08-23,5,18
1882,286,165,237,377,74,183,2016-02-09,4,2
902,262,123,546,1837,211,75,2014-05-01,3,4
2030,226,311,221,611,347,214,2013-07-01,9,9
1940,151,112,179,1700,163,113,2015-02-16,8,4
2058,139,203,410,1857,74,196,2013-06-20,2,13
2460,228,43,84,1905,240,51,2013-08-17,3,15
823,85,256,466,1676,357,151,2014-10-04,10,7
896,122,217,362,1067,246,69,2014-04-22,10,6
559,232,246,605,403,312,95,2015-07-05,8,6
1532,263,157,533,961,385,296,2013-08-03,4,8
2754,211,341,25,59,275,81,2015-07-15,6,16
2850,298,229,601,543,134,242,2015-01-06,7,18
962,48,131,300,813,441,312,2016-03-11,2,3
2424,278,2,243,1046,73,269,2014-12-25,9,3
1017,232,112,145,1519,431,148,2013-06-23,8,6
1990,145,103,464,1151,190,58,2015-12-24,3,6
1264,181,153,579,425,358,326,2014-06-17,2,12
467,141,229,40,563,374,11,2014-08-04,4,15
1824,201,292,159,770,328,108,2013-08-27,9,5
287,147,54,503,1771,163,123,2016-11-24,10,1
164,42,269,113,1791,404,60,2013-07-06,6,1
303,22,98,197,1934,148,180,2013-06-16,6,4
2546,78,19,312,769,35,21,2013-10-05,6,11
1318,270,151,373,1682,172,280,2016-11-28,2,4
2423,227,50,319,415,165,29,2016-04-17,4,3
1409,63,149,131,1638,92,260,2013-06-23,5,8
2146,90,249,493,1980,420,51,2016-01-08,6,3
185,138,53,279,1524,448,31,2016-02-15,5,3
2318,26,211,225,905,401,214,2013-09-24,5,11
2075,213,42,646,548,322,185,2015-02-14,5,18
2626,112,125,193,1015,286,79,2014-11-03,7,3
2936,238,182,55,1565,231,83,2014-10-24,8,7
1690,150,62,184,1193,3,128,2013-05-11,4,2
1303,134,53,606,198,324,103,2014-02-05,1,10
318,58,250,105,211,414,38,2013-04-02,3,9
1489,48,232,3,1474,420,168,2016-04-22,9,6
1008,119,171,103,545,331,330,2013-10-02,9,4
722,238,137,560,311,384,294,2014-12-26,6,19
937,69,58,400,371,164,111,2016-04-04,1,19
212,188,82,4,535,10,55,2015-05-24,2,6
115,179,310,548,1673,338,246,2013-05-18,4,15
941,190,323,563,78,434,349,2013-08-10,5,8
2333,67,253,645,1018,125,254,2014-07-23,10,1
1686,80,316,549,1367,178,156,2013-10-06,7,15
1516,126,316,487,431,164,294,2015-10-15,2,4
2309,15,52,623,1574,91,289,2015-08-08,7,14
318,202,57,257,131,112,197,2015-07-14,5,16
290,293,246,552,1104,145,51,2013-04-21,2,19
1439,158,222,454,1195,152,142,2016-11-20,9,18
2659,98,136,396,1662,83,293,2015-07-25,8,12
1647,58,302,257,248,380,326,2013-07-24,3,5
1882,240,315,25,1012,117,1,2014-03-18,9,1
2816,230,249,25,708,229,91,2013-05-28,3,3
2675,192,311,554,848,196,339,2015-09-26,9,19
75,215,321,475,65,278,322,2015-06-01,8,7
2161,224,299,569,380,423,82,2014-06-19,8,16
337,78,143,486,1514,264,182,2014-08-14,8,11
1337,223,314,220,308,418,87,2014-09-06,3,6
876,126,46,422,449,240,208,2016-08-20,2,17
2419,165,305,435,666,400,220,2014-01-11,4,1
1509,0,95,473,1989,111,112,2013-11-20,9,9
1510,222,324,329,1710,152,344,2016-04-25,5,16
2902,55,260,474,1172,271,297,2016-02-18,6,5
594,150,243,104,581,112,156,2016-01-05,3,2
408,215,158,323,109,334,319,2015-12-07,6,17
2166,100,167,142,387,182,194,2015-04-10,4,3
2331,276,233,298,1073,432,32,2013-05-04,3,12
1490,225,124,636,227,219,127,2015-06-17,9,9
2196,283,28,577,226,121,228,2013-08-24,9,17
508,285,138,187,1143,163,166,2015-01-12,1,11
2192,254,119,31,215,17,264,2014-11-21,3,12
