DBID,ID_Location,Office_Name,Phone,Adress
0,41,‏הבלצמעניססûיכ,5276142322,üזקח‏ףעםטדûכזÿדת‎יר,
1,141,‎פכüצץוûףםי,8650286024,צ‎עיעצ‏‎יüםן,
2,84,האזנכהנקעûב,8829135984,שגשע‎ילא‏ושץיאעךילףÿ,
3,255,ÿפצ‏םüמזד,1777733599,‎üצעעז‎נהןךק,
4,10,טשלףכיע‏ףפ‏ל,6189841439,גפלןףנםטףןץז,
5,17,ךואקכרבחהמÿנאפב,9255333743,נעתהפמסו‏יץר,
6,222,הצףמשצןחטפקךך,2586265392,טש‏עûודוüפוףרטמכ,
7,169,אש‎קחךשצםנג,7722941969,פסûךוסטבלציכ,
8,123,לןסץ‎תץבûבא,6582544161,חשדסץנרטסשלבז‏,
9,82,נü‏שסÿגוגל,9293440596,תצרגדסזÿתים‏גאצעפ,
10,59,זÿי‏סםמדלטב‏,0372975343,ווûטביוחלמזצטüףטם‏,
11,170,כסÿאנûץזל‏חרףם,6482168314,נÿננחפזעץךûט,
12,227,זüץך‏‎ÿיךבû‎,8302236715,נהתפזזףףככבנ‏לל,
13,163,ףזופסמךםןץ,0893074783,שגüüברםלחאדהר,
14,250,ץלנתםמםשח‎סא‏סא,7651399592,ÿץגאז‏לסבהףןףן,
15,235,אדךן‏ךןץןףבץמת,4530891347,פיאיעפילםבןקצזû‎,
16,24,רכטברבכטעגשפנ,5910850790,שעûפüתןקרץנץקץÿ,
17,208,םםפשכדוסטוצ,1753324129,üûפûגךךןחüקוחךûעûבאה,
18,42,סחנךנמץןדן‏ך,7481435526,י‏חבבטסלםה‏‏,
19,1,לרנÿתדםןקחנשÿ‎,8378379391,מאüו‏גרגעםכצ,
20,120,ûרןףגס‏‎‎,4839764586,בדשץררכלמכשמüüנךמ‎ם,
21,4,עפןםץהנץ‏,4626825510,בû‎תךע‏גםסטלר‏שמןתÿ,
22,156,פ‎ץוüנרזתעûבאÿ,6392198234,תכקיזדאûדףשץטטםבךץעע,
23,137,ותüיק‎כץיו,8014755509,טעגץזהזüקÿםדןצךבפי,
24,132,סברםמûףüאךאן,5413735856,ךזםץמאהשכרק,
25,64,ץתאüמתÿבüüצומבנ,9523415231,לזגדףשפנזעשפהג,
26,293,א‏בפרדנכגקצעטף,2998386986,זי‏צתרםץקעךקגצ,
27,192,מÿנאתüûÿתÿ,6787816095,וטüרכךקדרשךמ,
28,46,גהס‏ןדדבû,5840547214,‎ךף‏‎ם‏שנב‏,
29,93,תהחםÿישפס,3408815232,פעלפינצדןדץבד‎‎ב,
30,16,ןסרמ‎ךוüן,3912881860,צכ‏אצןחהךפצÿלתüוךכ,
31,277,וףךמקעספרןפר,2785839446,‏שצזלחüûפü‏,
32,147,כמףטחהף‏גרהחצ,6054679347,üחהחüןעÿילןף,
33,8,הס‏םכבועטÿגץרמ,9157334220,תשץך‏üומק‎קףףיקךמצע,
34,126,זנףעםהקזצגררג,1837581704,ךוןפחצבכ‎כגך,
35,33,עאאפסאמחגן‎המ,8294482725,איכבÿש‎ההרףכ,
36,174,דאמזבקפעדאלן,9538232104,יבבפץקנתםךדû‎יבפשגלמ,
37,282,קגשÿשüנלאÿ,8730764219,נתûכפüלץת‎מüהחרחטטמ,
38,32,טט‎מ‏סגבדמיץח,6688987079,ףצהידטםץטüכיתרÿקץתü,
39,251,א‏שץוüעןםאעו,1597026176,ûןךהבששסםגצמüדכםךק,
40,289,וויזגÿטאןך,2011759181,נמהÿםצעזÿלמüו,
41,77,קםÿתחץתנםניוח,7485649843,ככרשנכטצמעסבקקûפםי,
42,145,עמב‎ÿכ‏ףשה,9126170152,ץט‎חת‎צעפ‏דצהשלמיה,
43,109,בעסןעהנעטבצזÿי,6900135580,דדהעכטדךÿנÿüץםסןהוצ,
44,268,ץט‏בצלûיÿםוטכים,7127534455,üץטךטןבטנפדסטףנןאנכ,
45,33,קד‎אןםגטףננק‎חט,9622505252,לםגלאüלגוüגתושנחאטדכ,
46,266,הבנûהבסüרÿך,3212288874,ךחקבחקנûחסקויהסב‎ףגם,
47,283,זמפק‎לנבז‎קת,7663090801,וצקוףעכממחÿüיטח,
48,279,זגץשבÿקם‏ÿ,7857884238,בדעפסד‎לûכץûיםםץ,
49,10,ומהÿחקבגןך,8427584094,ןסמüםתוÿעך‏ûוץטצ,
50,89,כחיס‏רפסתנלץ,5416645291,לכקכûפ‎צבלקבסכלכüם,
51,93,רהûףאךןזüשקיג,4219709333,ן‎נןÿûפמûקכויעך‏üון,
52,278,ÿÿגדץמדצץÿ,6173060256,וצפץסעחעדזטצüדץûיףומ,
53,163,זסכÿךדאûגüעןט‎,1295615413,דתÿאÿחץןגסüג,
54,78,סץ‎תקמסגןûמגית,7289230282,קריזעףפעך‎וקםשü,
55,113,מ‎יינצÿז‎ג,9249044985,אוזדûקם‏גÿרןץףתנû,
56,34,‏טקפףהץאפךהקלמ,9573222002,סמרםוהגדובץפףסףךה,
57,31,נזהרחחפסתעבÿפû,3037304323,גמדוןקתםנÿ‏ףםדוגכ‎ס,
58,40,שףגךוןץדחÿÿר,9800185089,‏נתחסצן‎פשגךצתהףץף,
59,260,‏יÿיצבתקשפ,3233730148,ך‎נחÿםף‎û‏יüק,
60,23,דךםעיÿאבאךיהÿü,2789014073,חתûתזץגבבקטךפקתב,
61,103,לרתפףבגףץûף‎‏ע,6518272452,וüצשמד‎סüץך‎ÿרÿומף,
62,175,מיס‏צזהןנקסגב‏,3278527297,ÿקףחג‎ץגן‎אדזט,
63,273,זסצטדםםזשצמיא,8981637541,ש‏גנחלנבדיהאףץעדהץקב,
64,241,נקדטייכןרםןüלו,1987844435,ךמץüו‏כםרנסב,
65,112,חןץראזךכםוצז‏מ,6814764987,פ‏מזרדמעטףüנרז‏ûח,
66,174,כתהס‏ךתברתנםי,8136452201,קךדסחןמÿנבפûקûעתלדחנ,
67,151,ש‏ס‏ץלחהץרתהחם,6158219397,ףבטךןנן‏ברÿצבÿצטÿד,
68,254,תûםימÿüטמכתךףא,3519679275,ללעגשנחÿעףנךתא,
69,153,ץרתגןחפדבצ‎,3646740124,עוטÿטפלÿהכÿץםישנ,
70,34,שûטענפ‎צדאךת,7181212311,געשכנדץםךûבנכפ‎וץ‎ן,
71,169,ûקיעמויןצך,7175481752,ס‎ץדהפגכא‏בצךהיןנהע,
72,118,ףחסקחüüפץג‏,3694204436,חüÿבםאמב‎‏ס,
73,161,אצעת‏כיןךו,3056397743,גבף‎עחüציצנסןחש,
74,92,םךונמוüסעא,0290322477,בשדבונûדגםגץרטאן,
75,154,חינזקשיה‏üנ‏העק,0157327911,א‎‎יסאכרûÿצüÿחטז,
76,40,גטד‎üט‏üכ,7478600213,ההככüךעעתשח,
77,43,פןמכףפשאצוףיתÿש,7252328338,םüüדיס‎גךüרשוחב,
78,15,‎הזסנבץפרתש‎ü,1260221650,קבקטיûףףמûחתנסעסגעז,
79,206,כלףןפטץדט‏‏,7756690709,üודךüדיקûרקה,
80,6,שÿתםשקטךשüף,6463210587,‏בחץ‏ררגשבמוץריקûעשף,
81,287,קשםצüרכםל,3773339158,üגלל‏חבהûגת‎,
82,4,דזץףטנףחדקצ,7637127947,אמאטטסט‏אüמשדנ‏טû‎צ,
83,295,טûב‏ככדג‎ףמרפג,9877487832,ץ‎םצאהÿחûםüמזדךםעםמ,
84,14,וגסבזחהÿל,9851061818,ןצ‏תûךעםפיÿכמ,
85,50,üÿ‏‏ץûרהח‎ם,8954574467,כצמלעףדיזעקתל,
86,89,מטתסרלוסרמ‎ל,1711532668,‎‏אûראתזזלץתüספûדוא,
87,45,מתןץדןשÿמל,4996155607,זםסםמüףקבעחûעור,
88,154,טÿטמלקץכזנםץף,2322319730,דסטמנüספץהף‎םחטל,
89,140,העüףÿקיץצצ,3386445924,נטצקבמשפאעוומזש‎,
90,106,ץספץחגךשחüנו,6588285276,‎בשעשהמשן‏סהף,
91,175,ץןגץחארץבג,0456364676,‎ûüשץר‏םו‏הצבטםבנ,
92,280,זרכטאüלדüדטתנ,3610568676,צקגכח‏טךפץגÿכ,
93,134,זךןגקתתמךÿנ‏ÿם,2647082410,ףאםקףאךלףךכחלדשûץץûג,
94,139,ם‎עסמüץסר‏ךבצר,5619371320,טקץיףףןףל‏הנÿם,
95,274,דגבדך‎אסüץ,1807574291,פתטסטüזטסשיס,
96,18,‏פמüפצ‎ננצ,6675811511,פשאקאטסומעû,
97,246,‎‏בףא‎זבא,9056506533,ררךנüצתדüזûפסנאשזג,
98,182,ננזס‏תלפס,1002138435,זןלשףשרסצט‎ןקשסבקץטü,
99,145,ח‏דוûעפיכץר‏כ,2825778420,שüםתהבךאתט‏כטצ,
100,6,רבûûÿץÿערק,9812779218,כ‎קכרטהרנûס‎וקןנüש,
101,281,פקכךיכתüקמהאגיב,4988734577,בחץבחאדבגגלאקטז,
102,254,נםקזחטחפגךס,0817280119,‏באûצצנבגקבצממגשלûכ,
103,40,נכסםאגקתתנרצס,2662430205,גûנאץק‏פאאוû‏קעûחאל,
104,32,ףרÿרפתחףו‎ת,9577002593,ישע‎יךיףץבקקדךאטואיל,
105,82,טןפטשמזטעףאûשגם,2492700490,ÿרמקכסכטדן‏ט,
106,56,ÿ‏חכצחמרךץ‏עü‎ס,8004422865,בכחשזוובחסןפץעסבעכםפ,
107,208,םתיחûודחפ,4680895046,מףידףÿסו‎מ‏ף,
108,217,ימףק‎זךףיא,3329963551,ףקקדחפףנüבבזÿםזב,
109,165,ףדידהוהץטכתת,5346415217,ממחגןתקקÿרלזטאס,
110,2,ת‎ירהטסהפ‏דר,8474344460,ןככאקûאמאלנקûצד,
111,108,יקמפףענףהצאןנ,8494640929,זלככבףםתרדבקףעןüüץך,
112,176,נצבûלטרמךםכנרמ,6492429662,קטירחףשüגףטÿזשץץםס,
113,273,חעבץזרדעא,1892738426,אכגטבוûדגצעב‏,
114,129,צעךןזüüוÿדמ,3759149176,וטüפהûןûםהלü‏ץלאלא,
115,226,קץמûüךררםב,2432512495,גאןü‎םץכמדפהאףסחותבח,
116,228,לüקענרההי‎,0860546293,‎טובדלצ‎טצןטהט‏ךמץ,
117,159,טגביצף‏ןץד,0663408376,מבטאבץגלםûנאפ‏,
118,25,נ‏הסתגףףך,1400574775,טבÿûץלומזשאשןשךüדז,
119,93,ץקאם‏סץ‎‏בצ,2097337705,ןגרצט‏טתישüכי‎טדמ,
120,185,‏ףפגעטחפÿת,2629698395,זחזפץזחצדüזûץ,
121,228,טוץüסךוסיתי,6338359611,נדףûיג‏גÿרס,
122,223,ףףטצצךחר‏,8539860563,דג‏ףוןוץבצצך,
123,94,‎והנדר‏זפם,3437560610,הץקדץיÿûבסכ,
124,76,דהצףנטהתח‎רוקוû,9995935614,‎ÿטןיתûםטנü‎üןפצכ,
125,130,םךהעזüרÿכ,7809000204,פגקךלהעפצטüצשלכ,
