ID_Recipe,Recipe_Name,Calories,Recipe_Category
1,ד‏הבלצמענ,9,א
2,ûיכףזûüחל,6,ד
3,‏םüזקח‏ףעם,5,ג
4,כזÿדת‎ירוÿ‎פכüצ,7,ג
5,ףםיךüûמעאתנמארצ,1,א
6,עצ‏‎יüםןפעהאז,6,ב
7,נקעûבגצגס‎בכÿ,4,ה
8,שגשע‎ילא‏וש,4,ג
9,עךילףÿחצÿ,2,א
10,םüמזדןקיבÿיןב,9,ה
11,‎üצעעז‎נהןךקגקט,9,ד
12,כיע‏ףפ‏לפץפÿפה,2,ה
13,ןעגפלןףנםטף,6,ב
14,ש‎ךואקכרבחהמÿ,6,ד
15,בם‏ûוץחûף,2,ד
16,נעתהפמסו‏יץרזךה,9,ה
17,שצןחטפקךךנק,7,ב
18,צûסםמהטש‏עûודוü,2,ה
19,רטמכץואש‎קחךשצם,8,ב
20,םטפיךשוטבאפסûך,8,ב
21,בלציכחקלן,2,ה
22,תץבûבא‏יטתחזגץפ,8,ב
23,שדסץנרטסש,1,ב
24,‏מבנü‏שסÿגוגלûפ,7,ד
25,ךזייגשתצרגד,6,ד
26,תים‏גאצעפ,9,ד
27,ÿי‏סםמדלטב‏א‎כג,5,ג
28,חהןפווûטביוחלמז,3,ה
29,ףטם‏‏עכסÿאנ,6,א
30,ל‏חרףםנ‏ג,5,ב
31,זבכלתנÿננחפז,2,ג
32,ûטףכזüץך‏‎,5,ג
33,בû‎רןטצעûפ,3,ב
34,םנהתפזזףףככב,2,א
35,לדלףזופסמךםןץנך,5,ד
36,‎פםפשחשגü,1,ד
37,םלחאדהרזחץלנתםמ,2,ג
38,‎סא‏סאםטביחב,2,א
39,הרÿץגאז‏לסבהףןף,3,א
40,אדךן‏ךןץןףבץמת,3,א
41,ךצחםב‏וזפיאי,6,ד
42,לםבןקצזû‎ט,9,ג
43,טברבכטעגשפ,6,א
44,קטרםעי‎זישעûפ,4,ד
45,קרץנץקץÿא,7,ג
46,פשכדוסטוצש‎קכץר,4,ב
47,ןמüûפûגךךן,7,ה
48,וחךûעûבאה,1,ה
49,חנךנמץןדן‏ך,7,ה
50,ûטבדיטךצי‏,6,א
51,טסלםה‏‏בדלרנÿ,5,ד
52,ןקחנשÿ‎üחדט,1,ג
53,ÿשיפמאüו‏גרגע,3,ד
54,פלûרןףגס‏‎‎ר,8,ד
55,ב‏נכצצדבד,6,ה
56,רכלמכשמüüנך,9,ד
57,פסעפןםץהנ,9,ה
58,אüאצגכקכצסבû‎,2,א
59,‏גםסטלר‏שמ,5,ה
60,נפפ‎ץוüנרזת,3,א
61,אÿüכ‎צייפגץעלת,3,ב
62,זדאûדףשץטטםבךץע,8,ג
63,ותüיק‎כץיו,5,א
64,רםקכחתÿהט,3,ה
65,זהזüקÿםדן,2,ד
66,פיפהסברםמûףüאך,1,ב
67,צןוףיקטשלםךזם,5,ב
68,השכרקרםץתאüמתÿ,7,ה
69,צומבנ‎ÿמסהוי,2,ד
70,זלזגדףשפנזעשפהג,9,ב
71,‏בפרדנכגקצע,5,א
72,ץק‏קמעûעזלזי‏,8,ב
73,םץקעךקגצלטמÿ,2,ד
74,üûÿתÿא‎תשהûאזב,6,ד
75,טüרכךקדרשך,1,ב
76,גהס‏ןדדבû,1,ד
77,תירוגסüו‎ךף,1,ד
78,‏שנב‏יפתהחםÿישפ,3,ד
79,עטטסםאולג,4,ב
80,פינצדןדץבד‎,8,א
81,תןסרמ‎ךוüןו,2,ב
82,נ‏ןüג‏צצכ‏אצןח,5,ה
83,צÿלתüוךכי,7,א
84,ךמקעספרןפרג,1,ד
85,פחןגפמÿ‏שצ,4,א
86,üûפü‏ק‎כמ,1,ב
87,הף‏גרהחצנג‎הצ,4,ה
88,מ‎לüחהחüןעÿיל,2,ג
89,יהס‏םכבועט,6,א
90,רמ‎ייכססךאלמו,3,ג
91,ך‏üומק‎קףףיק,1,א
92,עצןזנףעםהקזצגרר,3,ב
93,ןףבתשי‏זזך,7,ד
94,חצבכ‎כגךשטעא,1,ג
95,אמחגן‎המאטילגנ,1,ג
96,ÿטאיכבÿש‎ההרף,7,ה
97,דאמזבקפעדאלן,9,א
98,גהסüףרתני,5,ה
99,ץקנתםךדû‎י,7,א
100,גלמצךקגשÿשüנלאÿ,3,ג
101,ךÿפךתדכשנתûכפ,7,ג
102,ת‎מüהחרחטטמ,6,ג
103,ט‎מ‏סגבדמ,1,ב
104,אü‏גכגשמקססףצה,7,ה
105,םץטüכיתרÿקץת,8,ב
106,א‏שץוüעןםאעו,2,א
107,יאהלחןתגû,9,ה
108,בששסםגצמüדכם,9,א
109,מוויזגÿטאןךעגיÿ,1,א
110,סךקקנמהÿםצע,9,א
111,מüובפקםÿתח,5,ב
112,םניוחכפמןנמדז,6,ד
113,ככרשנכטצמ,7,ב
114,קקûפםיםיע,3,ד
115,ÿכ‏ףשהב‎אה,8,ג
116,ÿופנץט‎חת‎צע,2,ב
117,צהשלמיה‎אבע,9,א
118,הנעטבצזÿיצÿהזÿ,1,א
119,‏üףדדהעכטדךÿנ,5,ד
120,םסןהוצר‏ץט‏ב,6,ד
121,יÿםוטכיםש‎,5,ג
122,ברלקץםüץט,7,ב
123,בטנפדסטףנןא,4,ב
124,דקד‎אןםגטףנ,4,א
125,חטקהגטבטן,8,א
126,רלםגלאüלגוüג,9,ד
127,נחאטדכתםהבנûהב,2,ג
128,ÿךףזץגאאג,9,ג
129,עךחקבחקנûח,9,ב
130,יהסב‎ףגםף,9,ה
131,פק‎לנבז‎קתןזלכל,3,א
132,זקשוצקוףעכממ,3,ג
133,יטחדשזגץשבÿקם‏,2,ג
134,ש‎ךזüלףהנ,2,ד
135,פסד‎לûכץûיםםץע,1,ב
136,הÿחקבגןךטממדץתנ,7,ה
137,üןסמüםתוÿע,7,ב
138,וץטציךכחיס‏ר,1,ג
139,נלץןמשנצרד‏חץ,4,ה
140,קכûפ‎צבלקבס,7,ב
141,üםשטרהûףאךןז,2,ב
142,יג‏אח‎כגחם,3,ד
143,ן‎נןÿûפמû,6,א
144,יעך‏üוןעף,7,ד
145,דץמדצץÿתף‎,9,א
146,ךךחזעוצפץסעח,5,א
147,טצüדץûיףומ,5,ג
148,סכÿךדאûגüעןט,1,ב
149,דחüכחלÿףüדתÿא,7,ד
150,ןגסüגמבסץ‎ת,6,א
151,גןûמגיתחנ,2,ה
152,כמענזÿקריזע,3,ד
153,ך‎וקםשüיפמ‎,6,ד
154,צÿז‎גיאךםעהüשז,9,ד
155,וזדûקם‏גÿרןץףת,3,ד
156,ת‏טקפףהץאפך,1,א
157,מףףשד‏צזüתמ,4,ב
158,רםוהגדובץפףסף,7,ד
159,‎נזהרחחפסתע,6,ב
160,ûדטס‎ץזעבמכץגמ,6,ג
161,קתםנÿ‏ףםדוגכ‎ס,2,ה
162,ףגךוןץדחÿ,1,ה
163,תלע‎צםפלכז‏נ,9,א
164,צן‎פשגךצתהףץף,3,ג
165,יÿיצבתקשפיטב,1,ג
166,ךף‏üףך‎נחÿםף‎,6,ד
167,üקûדדךםעיÿא,9,ה
